,"Average of Signing Bonus",
"Cell #","Row Labels",
1,1,"$7,200,000"
,"4Yr","$7,200,000"
,"HS","$7,200,000"
,"JC","$7,200,000"
2,2,"$6,200,000"
,"4Yr","$6,200,000"
,"HS","$6,200,000"
,"JC","$6,200,000"
3,3,"$5,200,000"
,"4Yr","$5,200,000"
,"HS","$5,200,000"
,"JC","$5,200,000"
4,4,"$4,200,000"
,"4Yr","$4,200,000"
,"HS","$4,200,000"
,"JC","$4,200,000"
5,5,"$3,500,000"
,"4Yr","$3,500,000"
,"HS","$3,500,000"
,"JC","$3,500,000"
6,"6-10","$2,900,000"
,"4Yr","$2,900,000"
,"HS","$2,900,000"
,"JC","$2,900,000"
7,"11-15","$2,650,000"
,"4Yr","$2,650,000"
,"HS","$2,650,000"
,"JC","$2,650,000"
8,"16-20","$2,200,000"
,"4Yr","$2,200,000"
,"HS","$2,200,000"
,"JC","$2,200,000"
9,"21-End 1st","$1,600,000"
,"4Yr","$1,600,000"
,"HS","$1,600,000"
,"JC","$1,600,000"
10,"2nd Picks 1-15","$1,200,000"
,"4Yr","$1,200,000"
,"HS","$1,200,000"
,"JC","$1,200,000"
11,"2nd Picks16+","$800,000"
,"4Yr","$800,000"
,"HS","$800,000"
,"JC","$800,000"
12,"3rd","$500,000"
,"4Yr","$500,000"
,"HS","$500,000"
,"JC","$500,000"
13,"4th","$350,000"
,"4Yr","$350,000"
,"HS","$350,000"
,"JC","$350,000"
14,"5th","$330,000"
,"4Yr","$330,000"
,"HS","$330,000"
,"JC","$330,000"
15,"6th","$300,000"
,"4Yr","$300,000"
,"HS","$300,000"
,"JC","$300,000"
16,"7th","$225,000"
,"4Yr","$225,000"
,"HS","$225,000"
,"JC","$225,000"
17,"8th","$185,000"
,"4Yr","$185,000"
,"HS","$185,000"
,"JC","$185,000"
18,"9th","$150,000"
,"4Yr","$150,000"
,"HS","$150,000"
,"JC","$150,000"
19,"10th","$125,000"
,"4Yr","$125,000"
,"HS","$125,000"
,"JC","$125,000"
20,"11th-15th","$100,000"
,"4Yr","$36,029"
,"HS","$100,000"
,"JC","$68,774"
21,"16th-20th","$44,543"
,"4Yr","$18,399"
,"HS","$100,000"
,"JC","$61,824"
22,"21st-25th","$26,795"
,"4Yr","$12,617"
,"HS","$100,000"
,"JC","$55,817"
23,"26th-30th","$24,762"
,"4Yr","$8,529"
,"HS","$100,000"
,"JC","$44,919"
24,"31st-35th","$17,900"
,"4Yr","$7,584"
,"HS","$100,000"
,"JC","$41,369"
25,"36th-40th","$24,775"
,"4Yr","$6,543"
,"HS","$100,000"
,"JC","$35,000"
26,"41st+","$19,309"
,"4Yr","$5,000"
,"HS","$100,000"
,"JC","$29,459"
